t(s)   Q (ml/s)	
0.358	0.0668
0.359	0.0655
0.36	0.0646
0.361	0.0636
0.362	0.0624
0.363	0.0612
0.364	0.0601
0.365	0.0588
0.366	0.0577
0.367	0.056
0.368	0.0547
0.369	0.0534
0.37	0.052
0.371	0.051
0.372	0.0494
0.373	0.0479
0.374	0.0469
0.375	0.0455
0.376	0.0445
0.377	0.0433
0.378	0.0419
0.379	0.0408
0.38	0.0396
0.381	0.0379
0.382	0.0367
0.383	0.0355
0.384	0.0337
0.385	0.0325
0.386	0.0306
0.387	0.0289
0.388	0.0274
0.389	0.0259
0.39	0.0245
0.391	0.0225
0.392	0.0207
0.393	0.019
0.394	0.0173
0.395	0.0156
0.396	0.014
0.397	0.0126
0.398	0.0112
0.399	0.0094
0.4	0.0084
0.401	0.0069
0.402	0.0055
0.403	0.0044
0.404	0.0035
0.405	0.0026
0.406	0.0017
0.407	0.0014
0.408	0.001
0.409	0.001
0.41	0.0013
0.411	0.0017
0.412	0.0023
0.413	0.0037
0.414	0.0054
0.415	0.0069
0.416	0.0084
0.417	0.0108
0.418	0.0131
0.419	0.0154
0.42	0.0178
0.421	0.0203
0.422	0.0228
0.423	0.0251
0.424	0.0274
0.425	0.0295
0.426	0.0321
0.427	0.0342
0.428	0.036
0.429	0.0372
0.43	0.0387
0.431	0.0399
0.432	0.041
0.433	0.0416
0.434	0.0425
0.435	0.0429
0.436	0.0432
0.437	0.0436
0.438	0.0439
0.439	0.044
0.44	0.0441
0.441	0.0444
0.442	0.0443
0.443	0.0442
0.444	0.0442
0.445	0.0442
0.446	0.0443
0.447	0.0443
0.448	0.0447
0.449	0.0448
0.45	0.0451
0.451	0.0456
0.452	0.0458
0.453	0.0455
0.454	0.0464
0.455	0.0465
0.456	0.0469
0.457	0.0468
0.458	0.0468
0.459	0.0472
0.46	0.0471
0.461	0.0473
0.462	0.0472
0.463	0.0474
0.464	0.0476
0.465	0.0475
0.466	0.0471
0.467	0.0471
0.468	0.0471
0.469	0.047
0.47	0.0471
0.471	0.0468
0.472	0.0468
0.473	0.0469
0.474	0.0465
0.475	0.0467
0.476	0.0468
0.477	0.047
0.478	0.0469
0.479	0.0467
0.48	0.0468
0.481	0.0465
0.482	0.047
0.483	0.0469
0.484	0.0465
0.485	0.0466
0.486	0.0464
0.487	0.0463
0.488	0.0459
0.489	0.0457
0.49	0.0456
0.491	0.045
0.492	0.0448
0.493	0.0446
0.494	0.0438
0.495	0.0434
0.496	0.0429
0.497	0.0427
0.498	0.0419
0.499	0.0411
0.5	0.0407
0.501	0.0404
0.502	0.0391
0.503	0.0389
0.504	0.0378
0.505	0.037
0.506	0.0363
0.507	0.0357
0.508	0.035
0.509	0.0342
0.51	0.0335
0.511	0.0331
0.512	0.0319
0.513	0.0313
0.514	0.0306
0.515	0.03
0.516	0.0288
0.517	0.0289
0.518	0.0281
0.519	0.0275
0.52	0.0274
0.521	0.0266
0.522	0.0262
0.523	0.0258
0.524	0.0253
0.525	0.025
0.526	0.0241
0.527	0.0237
0.528	0.0231
0.529	0.0225
0.53	0.0218
0.531	0.0215
0.532	0.0206
0.533	0.0204
0.534	0.0196
0.535	0.0194
0.536	0.0185
0.537	0.0183
0.538	0.0181
0.539	0.0175
0.54	0.0171
0.541	0.0169
0.542	0.0167
0.543	0.0165
0.544	0.0163
0.545	0.0161
0.546	0.0158
0.547	0.0157
0.548	0.0157
0.549	0.0156
0.55	0.0151
0.551	0.0154
0.552	0.0153
0.553	0.0152
0.554	0.0152
0.555	0.0154
0.556	0.0154
0.557	0.0155
0.558	0.0156
0.559	0.0154
0.56	0.0154
0.561	0.0156
0.562	0.0156
0.563	0.0157
0.564	0.016
0.565	0.0157
0.566	0.0157
0.567	0.0158
0.568	0.0156
0.569	0.0156
0.57	0.0157
0.571	0.0156
0.572	0.0154
0.573	0.0152
0.574	0.0152
0.575	0.0151
0.576	0.0151
0.577	0.0153
0.578	0.0153
0.579	0.0152
0.58	0.0156
0.581	0.0155
0.582	0.0156
0.583	0.0158
0.584	0.0155
0.585	0.0157
0.586	0.0155
0.587	0.0153
0.588	0.015
0.589	0.0149
0.59	0.015
0.591	0.0149
0.592	0.0149
0.593	0.0146
0.594	0.0147
0.595	0.0146
0.596	0.0146
0.597	0.0146
0.598	0.0148
0.599	0.015
0.6	0.0149
0.601	0.0151
0.602	0.0152
0.603	0.015
0.604	0.0154
0.605	0.0153
0.606	0.0153
0.607	0.0154
0.608	0.0155
0.609	0.0152
0.61	0.0154
0.611	0.0152
0.612	0.0156
0.613	0.0156
0.614	0.0157
0.615	0.0154
0.616	0.0154
0.617	0.0156
0.618	0.0158
0.619	0.0156
0.62	0.0156
0.621	0.0157
0.622	0.0159
0.623	0.0156
0.624	0.0161
0.625	0.0159
0.626	0.0157
0.627	0.0159
0.628	0.0159
0.629	0.0156
0.63	0.0157
0.631	0.0159
0.632	0.0159
0.633	0.0154
0.634	0.0159
0.635	0.0159
0.636	0.0158
0.637	0.0155
0.638	0.016
0.639	0.0162
0.64	0.0163
0.641	0.0166
0.642	0.0167
0.643	0.0162
0.644	0.0164
0.645	0.0163
0.646	0.0164
0.647	0.0163
0.648	0.0163
0.649	0.0162
0.65	0.0162
0.651	0.016
0.652	0.0161
0.653	0.0163
0.654	0.0164
0.655	0.0164
0.656	0.0165
0.657	0.0161
0.658	0.0167
0.659	0.0164
0.66	0.0165
0.661	0.0164
0.662	0.0167
0.663	0.0164
0.664	0.0166
0.665	0.0165
0.666	0.0163
0.667	0.0165
0.668	0.0162
0.669	0.0161
0.67	0.0163
0.671	0.016
0.672	0.0164
0.673	0.0162
0.674	0.0162
0.675	0.0163
0.676	0.0163
0.677	0.0161
0.678	0.0162
0.679	0.0162
0.68	0.0164
0.681	0.0165
0.682	0.0163
0.683	0.016
0.684	0.016
0.685	0.0161
0.686	0.0164
0.687	0.016
0.688	0.0161
0.689	0.0161
0.69	0.0161
0.691	0.0165
0.692	0.0164
0.693	0.0161
0.694	0.0161
0.695	0.0162
0.696	0.0165
0.697	0.0165
0.698	0.0164
0.699	0.0169
0.7	0.017
0.701	0.0169
0.702	0.0172
0.703	0.0169
0.704	0.0169
0.705	0.0169
0.706	0.017
0.707	0.0172
0.708	0.0171
0.709	0.0173
0.71	0.0171
0.711	0.0169
0.712	0.0167
0.713	0.0168
0.714	0.0168
0.715	0.0166
0.716	0.0169
0.717	0.0164
0.718	0.0165
0.719	0.0163
0.72	0.0159
0.721	0.0158
0.722	0.0156
0.723	0.016
0.724	0.0156
0.725	0.0154
0.726	0.0156
0.727	0.0155
0.728	0.0152
0.729	0.0152
0.73	0.0149
0.731	0.015
0.732	0.015
0.733	0.0152
0.734	0.0155
0.735	0.0151
0.736	0.0151
0.737	0.0152
0.738	0.0148
0.739	0.0146
