t(s)   Q (ml/s)	
1.566	0.0149
1.567	0.0147
1.568	0.0147
1.569	0.0145
1.57	0.0145
1.571	0.0143
1.572	0.0145
1.573	0.0147
1.574	0.0147
1.575	0.0145
1.576	0.0145
1.577	0.0146
1.578	0.0147
1.579	0.0145
1.58	0.0148
1.581	0.0148
1.582	0.0147
1.583	0.0146
1.584	0.0146
1.585	0.0146
1.586	0.0146
1.587	0.0146
1.588	0.0147
1.589	0.0146
1.59	0.0146
1.591	0.0148
1.592	0.0148
1.593	0.0147
1.594	0.0149
1.595	0.0147
1.596	0.0145
1.597	0.0146
1.598	0.0148
1.599	0.0146
1.6	0.0147
1.601	0.0147
1.602	0.0147
1.603	0.0148
1.604	0.015
1.605	0.015
1.606	0.0147
1.607	0.0148
1.608	0.0146
1.609	0.0145
1.61	0.0148
1.611	0.0149
1.612	0.0146
1.613	0.0147
1.614	0.0146
1.615	0.0147
1.616	0.0146
1.617	0.0144
1.618	0.0146
1.619	0.0144
1.62	0.0144
1.621	0.0145
1.622	0.0146
1.623	0.0147
1.624	0.0147
1.625	0.0148
1.626	0.0149
1.627	0.0149
1.628	0.0151
1.629	0.0145
1.63	0.0148
1.631	0.0147
1.632	0.0148
1.633	0.0143
1.634	0.0145

