t (s)   Q (ml/s)
0.001	0.0161
0.002	0.0159
0.003	0.0162
0.004	0.0163
0.005	0.0166
0.006	0.0167
0.007	0.0166
0.008	0.0165
0.009	0.0172
0.01	0.0171
0.011	0.0169
0.012	0.0172
0.013	0.0173
0.014	0.0173
0.015	0.0172
0.016	0.0172
0.017	0.0169
0.018	0.017
0.019	0.0169
0.02	0.0169
0.021	0.0168
0.022	0.017
0.023	0.0166
0.024	0.0163
0.025	0.016
0.026	0.0157
0.027	0.0156
0.028	0.0155
0.029	0.0149
0.03	0.0146
0.031	0.0143
0.032	0.014
0.033	0.0138
0.034	0.0134
0.035	0.013
0.036	0.0128
0.037	0.0126
0.038	0.0122
0.039	0.0119
0.04	0.0117
0.041	0.0116
0.042	0.0113
0.043	0.0111
0.044	0.0111
0.045	0.0111
0.046	0.0111
0.047	0.0109
0.048	0.011
0.049	0.0111
0.05	0.0114
0.051	0.0115
0.052	0.0115
0.053	0.012
0.054	0.0126
0.055	0.0126
0.056	0.0131
0.057	0.0137
0.058	0.0142
0.059	0.0148
0.06	0.0156
0.061	0.0163
0.062	0.0171
0.063	0.0181
0.064	0.0187
0.065	0.0192
0.066	0.0201
0.067	0.0208
0.068	0.0215
0.069	0.0224
0.07	0.0229
0.071	0.0234
0.072	0.0239
0.073	0.0245
0.074	0.0249
0.075	0.0256
0.076	0.0261
0.077	0.0263
0.078	0.0265
0.079	0.0267
0.08	0.0272
0.081	0.0275
0.082	0.0283
0.083	0.0281
0.084	0.0287
0.085	0.0294
0.086	0.0303
0.087	0.0308
0.088	0.032
0.089	0.0329
0.09	0.0343
0.091	0.036
0.092	0.0374
0.093	0.0394
0.094	0.0419
0.095	0.0445
0.096	0.0467
0.097	0.0502
0.098	0.0531
0.099	0.0566
0.1	0.0603
0.101	0.064
0.102	0.0676
0.103	0.0721
0.104	0.0762
0.105	0.0801
0.106	0.0841
0.107	0.0883
0.108	0.0921
0.109	0.0955
0.11	0.0993
0.111	0.1021
0.112	0.105
0.113	0.1076
0.114	0.1097
0.115	0.1119
0.116	0.1141
0.117	0.1159
0.118	0.1177
0.119	0.1196
0.12	0.1214
0.121	0.1229
0.122	0.1244
0.123	0.1254
0.124	0.1261
0.125	0.1269
0.126	0.1275
0.127	0.1283
0.128	0.1288
0.129	0.1295
0.13	0.1299
0.131	0.1306
0.132	0.1306
0.133	0.1306
0.134	0.1305
0.135	0.1303
